ticker,test_days,rmse_leaky,rmse_fixed,rmse_inflation_pct,rmse_persistence,mae_fixed,mape_fixed,mape_persistence,dir_acc_fixed,dir_acc_leaky,dir_acc_alwaysup,buy_hold_return_pct,lstm_beats_persistence_rmse
AAPL,195,5.285,6.5038,23.1,3.0125,5.3403,2.4409,1.0492,0.4175,0.4124,0.6154,47.7,False
MSFT,195,9.4343,9.9241,5.2,5.2803,7.8275,1.8856,0.9425,0.4923,0.4821,0.5436,-0.5,False
SPY,195,6.9684,7.8455,12.6,4.4133,6.2018,1.1497,0.5969,0.4769,0.4872,0.5949,13.73,False
GOOGL,195,4.533,5.2334,15.5,2.9703,3.8958,2.3023,1.2598,0.5155,0.5052,0.5949,30.04,False
AMZN,195,5.9746,5.6681,-5.1,3.3795,4.4323,2.3395,1.3284,0.5128,0.4462,0.5333,24.22,False
META,195,18.3697,18.3934,0.1,10.0268,14.6148,2.8461,1.3902,0.5077,0.5333,0.5333,16.76,False
NVDA,195,6.2809,7.6854,22.4,3.7568,6.3118,5.2977,2.5312,0.5231,0.5744,0.5333,50.4,False
JPM,195,5.5376,5.213,-5.9,3.3411,4.0347,1.9805,1.0438,0.4821,0.5128,0.5538,22.34,False
XOM,195,2.3289,2.3748,2.0,1.3332,1.9849,1.829,0.944,0.4433,0.4381,0.4872,-4.52,False
KO,195,1.1234,0.9171,-18.4,0.5118,0.749,1.2187,0.6339,0.4583,0.4688,0.5333,4.87,False
