ticker,fold,method,train_days,test_days,rmse_ret,dir_acc,fit_secs
AAPL,0,persistence_zero,505,100,0.0141941570080404,,0.0
AAPL,0,momentum,505,100,0.019648344877545715,0.494949494949495,0.0
AAPL,0,always_up,505,100,,0.5757575757575758,0.0
AAPL,0,arima,505,100,0.014171280036787904,0.5757575757575758,1.78
AAPL,0,prophet,505,100,0.016025856398453317,0.45454545454545453,0.53
AAPL,0,xgboost,505,100,0.014974498722097242,0.494949494949495,2.56
AAPL,0,lstm_returns,505,100,0.014113367487232792,0.5252525252525253,6.4
AAPL,1,persistence_zero,605,100,0.012158887220111745,,0.0
AAPL,1,momentum,605,100,0.01581683934368409,0.55,0.0
AAPL,1,always_up,605,100,,0.54,0.0
AAPL,1,arima,605,100,0.01222698412347515,0.54,1.41
AAPL,1,prophet,605,100,0.013101808437832613,0.4,0.18
AAPL,1,xgboost,605,100,0.014206253649683497,0.53,0.22
AAPL,1,lstm_returns,605,100,0.012242134526108507,0.53,3.71
AAPL,2,persistence_zero,705,100,0.011351190537506705,,0.0
AAPL,2,momentum,705,100,0.014691656751870062,0.5,0.0
AAPL,2,always_up,705,100,,0.47,0.0
AAPL,2,arima,705,100,0.011384391297994581,0.47,1.29
AAPL,2,prophet,705,100,0.011438281552315268,0.63,0.4
AAPL,2,xgboost,705,100,0.012425911987104552,0.55,0.17
AAPL,2,lstm_returns,705,100,0.011451814945632582,0.45,3.69
AAPL,3,persistence_zero,805,100,0.017409299268947662,,0.0
AAPL,3,momentum,805,100,0.024352307708426738,0.53,0.0
AAPL,3,always_up,805,100,,0.63,0.0
AAPL,3,arima,805,100,0.01734825810913152,0.63,1.49
AAPL,3,prophet,805,100,0.01761612800938372,0.52,0.22
AAPL,3,xgboost,805,100,0.018609593276582376,0.44,0.19
AAPL,3,lstm_returns,805,100,0.017337896719277216,0.57,4.77
AAPL,4,persistence_zero,905,100,0.011563164468805152,,0.0
AAPL,4,momentum,905,100,0.015798461788812754,0.5050505050505051,0.0
AAPL,4,always_up,905,100,,0.6060606060606061,0.0
AAPL,4,arima,905,100,0.01147949221227948,0.6060606060606061,2.44
AAPL,4,prophet,905,100,0.01171421494544792,0.5454545454545454,0.52
AAPL,4,xgboost,905,100,0.01253383393119281,0.5454545454545454,0.25
AAPL,4,lstm_returns,905,100,0.01148514056133488,0.6262626262626263,5.85
MSFT,0,persistence_zero,505,100,0.01839981917533066,,0.0
MSFT,0,momentum,505,100,0.02448942968513329,0.54,0.0
MSFT,0,always_up,505,100,,0.51,0.0
MSFT,0,arima,505,100,0.01840389314394465,0.44,1.07
MSFT,0,prophet,505,100,0.019857583780134188,0.5,0.18
MSFT,0,xgboost,505,100,0.018098738476282007,0.61,0.54
MSFT,0,lstm_returns,505,100,0.018391954264480186,0.51,5.12
MSFT,1,persistence_zero,605,100,0.013885138158820216,,0.0
MSFT,1,momentum,605,100,0.02048865528393689,0.52,0.0
MSFT,1,always_up,605,100,,0.54,0.0
MSFT,1,arima,605,100,0.013657777423692999,0.58,1.94
MSFT,1,prophet,605,100,0.014729928724327893,0.47,0.19
MSFT,1,xgboost,605,100,0.01571480143671601,0.48,0.19
MSFT,1,lstm_returns,605,100,0.013796971829935695,0.63,3.84
MSFT,2,persistence_zero,705,100,0.012892618897948361,,0.0
MSFT,2,momentum,705,100,0.01996810789946896,0.48,0.0
MSFT,2,always_up,705,100,,0.58,0.0
MSFT,2,arima,705,100,0.012814851631462211,0.54,2.75
